summary_type,statistic,probability,rainfall_mm,observed,raw,mean_bias,quantile_mapping
ecdf,,,5.780450156991759,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714
ecdf,,,5.864224796948161,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714
ecdf,,,5.9479994369045635,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714
ecdf,,,6.031774076860966,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714
ecdf,,,6.115548716817368,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
ecdf,,,6.19932335677377,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
ecdf,,,6.283097996730173,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
ecdf,,,6.366872636686575,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
ecdf,,,6.450647276642977,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143
ecdf,,,6.5344219165993795,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143
ecdf,,,6.618196556555782,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143
ecdf,,,6.701971196512185,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143
ecdf,,,6.785745836468586,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143
ecdf,,,6.869520476424989,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143
ecdf,,,6.953295116381391,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143
ecdf,,,7.037069756337793,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143
ecdf,,,7.120844396294196,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143
ecdf,,,7.204619036250598,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143
ecdf,,,7.288393676207001,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143
ecdf,,,7.372168316163402,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143
ecdf,,,7.455942956119805,0.8571428571428571,1.0,0.8571428571428571,0.7142857142857143
ecdf,,,7.5397175960762075,1.0,1.0,0.8571428571428571,0.7142857142857143
ecdf,,,7.623492236032609,1.0,1.0,0.8571428571428571,0.8571428571428571
ecdf,,,7.707266875989012,1.0,1.0,0.8571428571428571,0.8571428571428571
ecdf,,,7.791041515945414,1.0,1.0,1.0,0.8571428571428571
ecdf,,,7.874816155901817,1.0,1.0,1.0,0.8571428571428571
ecdf,,,7.9585907958582185,1.0,1.0,1.0,0.8571428571428571
ecdf,,,8.04236543581462,1.0,1.0,1.0,0.8571428571428571
ecdf,,,8.126140075771023,1.0,1.0,1.0,0.8571428571428571
ecdf,,,8.209914715727425,1.0,1.0,1.0,0.8571428571428571
ecdf,,,8.293689355683828,1.0,1.0,1.0,0.8571428571428571
ecdf,,,8.37746399564023,1.0,1.0,1.0,1.0
